Terms,docFreq,postList
pikiran,1,[3]
pilihan,2,"[15, 13]"
pinggir,1,[26]
pjka,1,[28]
playground,1,[28]
pokdarwis,1,[16]
pon,1,[3]
populer,1,[25]
pos,1,[27]
prabu,1,[2]
produk,1,[36]
proses,1,[36]
puasa,1,[30]
pukul,2,"[36, 17]"
pula,3,"[23, 2, 35]"
pun,1,[35]
puncak,1,[16]
punya,2,"[12, 11]"
pupuk,1,[32]
puri,1,[0]
purworejo,3,"[13, 13, 13]"
pusat,5,"[36, 20, 25, 9, 24]"
putih,2,"[19, 19]"
putranya,1,[1]
rabu,1,[17]
raffles,1,[29]
raga,1,[31]
raja,2,"[20, 2]"
raksasa,2,"[6, 6]"
ramai,1,[1]
rame,2,"[5, 5]"
ranch,1,[34]
rapat,1,[35]
rasanya,1,[10]
ratus,1,[9]
rawa,4,"[25, 25, 27, 20]"
raya,3,"[10, 18, 26]"
real,1,[34]
rebana,1,[16]
reco,2,"[14, 14]"
recreation,1,[34]
referensi,1,[4]
reguler,1,[28]
rekreasi,2,"[20, 36]"
relaksasi,1,[3]
religi,1,[1]
remaja,1,[17]
renang,8,"[5, 17, 28, 17, 34, 17, 27, 18]"
reog,1,[16]
reservasi,2,"[16, 35]"
resmi,1,[27]
resor,2,"[33, 35]"
resort,5,"[28, 24, 27, 18, 27]"
restaurant,2,"[36, 18]"
resto,4,"[23, 27, 4, 10]"
restoran,5,"[27, 35, 32, 24, 33]"
review,1,[36]
reviews,1,[36]
ribu,1,[13]
ribuan,1,[15]
ritual,2,"[30, 30]"
roda,1,[13]
rombongan,1,[9]
rong,1,[27]
rosa,2,"[8, 8]"
rowoboni,2,"[30, 2]"
rp,7,"[25, 28, 28, 28, 17, 36, 28]"
rt,2,"[17, 16]"
ruang,1,[35]
rukun,1,[16]
rumah,1,[11]
rupiah,1,[13]
rustam,1,[20]
rutin,1,[30]
rw,1,[17]
s,10,"[22, 21, 27, 34, 37, 33, 23, 36, 25, 32]"
saat,4,"[8, 13, 25, 2]"
sabtu,1,[17]
sadranan,1,[16]
saja,4,"[17, 3, 9, 15]"
saking,1,[6]
salatiga,2,"[30, 24]"
salib,2,"[22, 22]"
saling,1,[37]
salju,1,[11]
sambil,4,"[7, 14, 26, 20]"
sampai,2,"[30, 9]"
sana,1,[0]
sanctuary,1,[28]
sang,1,[2]
sangat,5,"[30, 27, 21, 33, 24]"
sanjaya,1,[29]
santoso,1,[16]
sapi,1,[16]
satu,2,"[20, 30]"
satunya,1,[20]
sawah,3,"[30, 33, 16]"
sayur,1,[32]
sayuran,3,"[32, 32, 24]"
sebagai,5,"[1, 30, 20, 24, 28]"
sebelah,1,[27]
sebligo,1,[3]
sebuah,3,"[26, 35, 27]"
secangkir,1,[18]
secara,1,[30]
segar,8,"[7, 5, 13, 7, 32, 24, 32, 21]"
segarnya,2,"[5, 13]"
sehabis,1,[13]
sehari,1,[27]
sehat,1,[32]
sehingga,6,"[27, 17, 29, 17, 37, 37]"
sejak,1,[22]
